age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
64,2,42114,9,0,10,4,4,0,0,0,40,39,0
71,4,139686,6,2,6,0,4,1,0,0,40,22,0
72,0,149269,11,6,0,1,2,0,0,0,69,0,0
43,4,149493,11,2,1,0,4,1,0,1684,40,39,1
31,4,244389,0,0,7,1,4,1,0,0,40,39,0
42,4,263727,14,0,13,1,4,0,0,0,50,39,0
58,4,116531,9,0,10,1,4,0,0,0,40,39,0
40,2,51014,15,2,11,0,4,1,0,0,48,39,0
63,4,322134,11,2,7,0,4,1,7590,0,40,39,1
21,4,161088,9,2,4,0,4,1,0,0,43,39,0
17,4,234760,15,4,0,3,2,1,0,0,36,39,0
37,4,37082,11,2,12,0,4,1,7594,0,50,39,1
42,5,303882,11,6,9,1,4,0,0,0,15,21,0
45,4,350612,15,2,8,0,4,1,0,0,20,39,0
23,4,163716,15,4,7,3,4,0,0,0,40,39,0
32,4,104023,11,0,1,4,4,1,3407,0,40,39,0
78,7,417621,8,2,10,0,4,1,0,0,40,39,1
31,7,75877,9,4,10,1,4,1,0,1659,50,39,0
22,4,234442,15,4,8,3,4,1,0,0,41,39,0
46,4,142462,11,4,3,3,4,1,0,0,40,39,0
62,4,196750,1,6,3,1,4,0,3296,0,4,39,0
28,4,48608,15,4,12,4,0,0,0,0,40,39,0
32,1,40965,15,2,10,0,4,1,0,1467,40,39,1
59,7,146733,9,2,10,0,4,1,0,0,40,39,1
52,4,133966,11,0,7,1,4,1,0,1546,40,39,0
48,4,166491,11,0,9,4,4,0,0,0,40,6,0
31,4,229663,15,4,8,3,4,0,0,0,31,39,0
25,4,294857,11,4,1,3,2,0,3427,0,40,39,0
40,6,176423,11,0,4,1,4,1,0,1551,50,39,0
48,4,202258,8,2,3,0,4,1,0,0,40,39,1
19,4,248276,4,4,8,3,4,1,0,0,34,26,0
57,0,86978,15,2,0,5,0,0,0,0,11,39,0
18,4,229319,15,4,12,3,4,0,0,0,42,39,0
42,4,339971,8,2,12,0,4,1,7600,0,40,26,1
24,4,144629,9,4,4,3,4,1,0,0,56,39,0
29,4,219352,11,2,1,0,2,1,0,0,40,39,0
58,4,142738,9,6,8,4,4,0,0,0,60,4,0
31,4,89084,15,2,3,0,4,1,0,0,40,0,0
31,4,531913,7,4,7,1,4,1,3419,0,40,32,0
17,4,166842,15,4,1,3,4,0,0,0,20,39,0
54,4,183916,9,2,13,0,4,1,0,0,34,39,0
24,4,144513,15,4,1,3,4,1,0,0,49,39,0
35,4,58906,15,4,3,3,4,1,0,0,14,39,0
35,2,295880,12,4,10,1,4,0,0,1425,40,21,1
39,4,646267,11,2,7,3,4,1,0,0,40,39,0
49,7,169044,8,2,10,0,4,1,0,1894,50,39,1
36,4,126319,5,2,7,0,4,1,0,0,55,39,0
45,4,110181,14,2,10,0,4,1,0,0,60,39,1
37,4,248992,15,4,6,3,4,1,3477,0,10,39,0
44,4,205622,11,2,4,0,4,1,0,0,40,39,0
67,4,191151,9,3,8,4,4,1,0,0,11,39,0
64,4,138031,14,2,10,0,4,1,0,1916,40,39,1
47,4,174037,11,2,4,0,4,1,0,0,40,39,0
22,4,162551,11,4,8,3,4,1,0,0,37,39,0
29,4,268542,1,4,8,3,4,1,0,0,35,39,0
47,4,52589,9,2,8,5,4,0,0,0,20,39,0
49,4,103313,12,2,4,0,4,1,3528,0,40,39,1
27,4,168707,9,2,3,0,4,1,3486,0,40,26,0
35,4,168270,11,0,8,1,4,1,0,0,50,39,0
27,4,144372,9,2,3,0,4,1,0,0,40,39,0
21,4,182451,1,4,7,3,4,0,0,0,40,33,0
49,6,116281,14,2,10,0,1,1,3496,0,50,19,1
46,4,212379,0,2,3,0,4,1,0,0,40,39,0
32,4,235824,6,5,5,4,4,1,0,0,60,26,0
49,4,294724,10,2,4,0,1,1,0,1892,60,19,1
59,4,167327,11,2,7,0,4,1,0,0,40,39,0
44,7,190820,0,2,3,0,2,1,0,0,40,39,0
36,4,124720,11,0,3,3,4,1,0,0,40,39,0
39,4,52363,1,2,8,0,1,1,0,0,40,32,0
40,2,139825,11,2,11,0,4,0,0,0,40,39,0
29,0,132117,15,4,0,4,2,0,0,0,37,39,0
32,4,810917,11,4,1,4,2,0,0,0,40,39,0
35,1,30756,11,4,1,1,4,0,0,0,40,39,0
34,4,148635,11,2,3,0,4,1,0,1560,40,39,0
20,4,142112,11,4,8,1,4,0,0,0,45,39,0
56,4,164975,11,0,3,1,4,1,0,0,40,39,0
48,4,531982,15,2,13,0,4,1,0,0,40,39,0
52,4,267554,15,2,5,0,4,1,0,0,40,39,1
17,4,521882,15,4,6,3,4,1,0,0,32,39,0
41,1,80445,15,4,10,4,2,0,0,0,55,39,0
40,2,43473,15,2,11,0,4,1,0,0,40,39,1
31,4,219409,7,2,4,5,4,1,0,0,40,39,1
27,4,818369,9,4,8,1,4,1,0,0,40,39,0
39,4,315932,5,3,8,1,4,1,0,0,55,39,0
29,4,77479,15,4,8,3,4,0,0,0,35,39,0
19,4,117519,1,4,12,1,4,0,0,0,45,39,0
30,4,189294,9,4,3,2,4,1,0,0,24,26,0
41,4,109530,11,4,8,1,4,0,0,0,40,39,0
34,4,303482,11,2,7,0,4,1,0,0,40,39,0
18,4,27013,0,4,6,3,4,0,0,0,40,39,0
32,2,330118,15,4,11,1,4,1,0,0,40,39,0
30,4,771771,7,2,1,0,4,1,0,0,40,39,1
35,4,65094,5,4,7,2,2,0,0,0,60,39,0
25,4,157247,11,2,13,2,4,0,0,0,19,39,0
36,4,232667,11,4,6,3,4,1,0,0,20,39,0
32,4,119213,15,2,8,0,4,1,0,0,40,39,1
61,4,194274,11,2,14,0,4,1,0,0,49,39,0
21,6,212502,11,4,5,3,4,1,3529,0,39,39,0
40,2,119342,8,2,11,0,4,1,0,0,40,39,0
19,4,204009,15,4,1,3,2,0,0,0,40,39,0
32,4,173394,9,2,12,5,4,0,0,0,49,39,1
42,7,135943,12,2,8,5,2,0,0,0,29,39,0
30,4,189292,15,2,1,0,4,1,0,0,40,39,0
37,4,111478,15,4,7,3,4,1,3383,0,40,39,0
46,4,317717,9,4,10,1,4,1,0,0,52,39,0
17,0,180984,1,4,0,3,4,1,0,0,22,39,0
33,7,260387,8,2,5,0,4,1,0,0,40,39,1
77,4,168895,11,0,8,1,4,1,7259,0,40,39,1
30,4,258385,15,4,1,4,2,0,0,0,21,39,0
55,5,43059,15,0,1,4,4,0,0,0,41,39,0
50,7,47155,11,0,1,4,4,0,0,0,60,39,0
49,7,180602,9,2,3,0,4,1,0,0,40,39,0
35,4,261950,11,4,3,1,4,1,0,1546,40,22,0
28,4,487278,4,4,3,4,4,1,0,0,40,26,0
37,5,38469,11,4,3,1,4,1,0,0,29,39,0
44,2,679162,9,2,10,0,4,0,0,0,55,39,1
37,4,180449,9,4,4,1,4,1,0,0,40,39,1
36,4,88760,11,2,7,0,1,1,0,1894,40,40,0
22,4,202970,11,4,1,2,2,0,0,0,40,39,0
72,4,82875,10,2,13,0,4,1,0,0,40,39,1
52,4,128206,14,2,3,0,4,1,0,0,50,39,0
38,4,174076,11,4,1,3,4,1,0,0,20,39,0
26,4,311956,11,4,3,3,2,1,0,0,45,39,0
65,2,200717,7,0,10,1,2,0,0,0,20,39,0
24,4,37082,11,4,8,3,4,0,0,0,25,39,0
35,4,207833,11,5,12,1,4,1,0,0,40,39,0
48,4,130375,11,2,12,0,4,1,0,0,25,39,0
60,4,425360,12,2,10,0,4,1,7662,0,40,17,1
35,4,93998,11,2,3,0,4,1,0,0,40,39,0
40,4,164683,15,0,6,3,4,1,0,1456,45,39,0
45,4,180862,7,4,1,1,4,0,0,0,50,39,0
41,2,174057,7,2,11,0,2,1,0,0,55,39,0
41,6,31842,8,2,5,0,4,1,0,0,83,39,0
37,4,198985,9,4,10,1,4,0,0,0,60,39,0
50,2,269782,11,0,4,4,2,0,0,0,40,0,0
62,4,165248,12,2,4,0,4,1,7596,0,60,39,1
20,4,88757,15,4,1,3,4,0,0,0,35,39,0
19,0,22891,7,4,0,3,4,0,0,0,17,39,0
60,4,166262,14,0,10,1,4,1,14957,0,60,39,1
34,7,315648,5,2,4,5,4,0,0,0,5,39,0
57,6,96692,8,2,4,0,4,1,7604,0,40,39,1
44,4,118459,9,5,12,4,2,0,0,0,38,39,0
33,4,289066,15,2,3,0,4,1,0,0,40,39,0
38,2,172114,11,2,3,0,2,1,0,0,60,39,0
27,4,194784,15,4,3,3,4,0,0,0,32,39,0
30,4,118835,11,4,14,3,4,1,0,0,40,39,0
42,4,276004,11,2,6,0,4,1,0,0,40,26,0
40,4,45918,1,2,3,0,4,1,0,0,40,39,0
45,6,121616,11,0,3,4,4,1,0,0,21,39,0
46,4,19796,11,2,7,0,4,1,3510,0,40,39,0
28,4,131242,1,4,14,4,4,1,0,0,36,28,0
31,4,154079,15,2,1,5,4,0,0,0,40,39,0
44,7,334894,15,2,3,0,4,1,0,0,40,39,0
40,4,173468,5,2,3,0,4,1,0,0,40,39,0
41,1,232241,8,2,1,0,4,1,0,0,40,39,0
22,4,288749,15,4,4,3,2,0,0,0,40,39,0
24,4,157681,0,4,1,1,4,0,0,0,40,39,0
40,4,235995,11,2,7,0,2,1,0,0,55,26,0
41,4,70721,11,4,7,3,1,1,3493,0,40,0,0
33,2,255411,15,2,8,0,4,1,0,0,40,39,0
45,5,194556,7,2,1,5,4,0,0,0,13,39,1
54,4,184297,11,2,6,0,3,1,0,0,16,0,0
42,4,207229,8,2,3,0,4,1,0,0,45,39,0
52,4,81135,11,3,8,2,4,0,0,0,20,0,0
52,4,155528,11,2,4,5,4,0,0,0,27,8,0
18,0,145723,9,4,0,3,4,0,0,0,34,39,0
71,6,132500,0,2,3,0,4,1,0,0,40,39,0
60,4,151154,15,0,10,1,4,0,0,0,40,39,0
39,4,98279,15,2,4,5,4,0,0,0,40,39,0
38,4,235599,11,2,3,0,4,1,0,1656,39,39,1
24,4,226610,15,4,1,3,4,0,3446,0,22,39,0
61,4,93651,11,4,6,1,4,1,0,0,36,39,0
40,4,99677,15,4,8,2,4,0,0,0,28,39,0
36,4,225456,9,4,10,1,4,1,0,0,40,39,0
44,2,243989,11,2,11,0,4,1,3512,0,40,39,1
22,4,219519,15,4,12,3,2,0,0,0,40,39,0
33,4,164243,2,4,7,2,4,0,0,0,40,39,0
27,4,202202,11,2,12,0,4,1,0,0,50,39,0
52,4,102006,9,2,12,0,4,1,0,1890,60,39,1
22,4,171645,9,4,1,3,4,1,0,0,28,39,0
19,1,114334,15,4,8,2,2,0,7327,0,40,39,1
46,4,138234,11,4,12,2,4,1,0,0,45,39,1
61,6,217182,11,2,13,0,4,1,3426,0,12,39,1
58,4,174586,9,2,10,0,4,1,0,0,55,39,1
46,4,120121,9,2,3,0,4,1,0,0,45,39,1
65,7,150583,15,2,3,0,4,1,0,0,60,39,1
53,4,100110,11,3,7,4,4,0,0,0,40,39,0
37,4,162789,15,2,7,0,4,1,0,0,40,39,0
30,4,345437,0,4,3,1,4,1,0,0,40,39,0
64,4,440377,9,2,3,0,4,1,0,0,40,26,0
38,4,230106,11,4,3,3,2,1,0,0,40,39,0
39,4,192688,8,2,1,0,4,1,0,0,40,39,1
35,4,147863,9,2,8,0,4,1,0,0,40,26,0
35,4,238803,12,2,4,0,2,1,0,0,45,39,1
43,7,231116,8,2,13,0,4,1,15023,0,40,39,1
53,4,105817,8,2,9,0,3,0,0,0,40,32,0
46,4,299734,15,2,3,0,4,1,0,0,50,39,1
36,4,197465,11,4,1,1,4,0,0,0,25,39,0
40,4,226229,7,0,1,1,4,0,0,2332,45,39,0
23,6,108969,15,2,12,0,4,1,0,0,20,39,1
44,4,252875,3,2,14,0,4,1,0,0,45,39,0
22,4,31992,11,4,1,3,4,0,0,0,42,39,0
45,4,334054,11,2,6,0,4,1,0,0,38,39,0
44,4,187986,11,4,12,1,4,1,0,0,40,39,0
39,2,55223,8,2,1,0,4,0,0,0,40,39,0
53,4,167510,4,4,7,1,4,1,0,0,40,26,0
47,4,269270,11,0,1,4,4,0,0,0,40,39,0
51,4,161637,11,0,1,1,4,0,0,0,40,39,0
55,4,215263,8,2,10,0,4,1,0,0,50,39,1
41,4,107259,15,2,12,0,4,1,0,0,69,39,0
54,4,130617,11,3,13,4,1,0,0,0,27,30,0
17,4,493010,1,4,6,3,2,1,0,0,28,39,0
66,7,227628,12,2,10,0,4,0,22790,0,10,39,1
55,4,110116,15,2,12,0,4,1,3551,0,40,39,1
36,2,181077,15,4,6,3,4,1,7480,0,40,39,1
40,4,292653,0,2,6,0,4,1,0,0,31,39,0
46,1,193236,11,4,3,2,2,1,0,0,68,39,0
18,4,345406,1,4,8,3,4,0,0,0,18,39,0
41,4,173738,8,2,13,0,4,1,14990,0,45,39,1
31,7,296131,8,2,7,0,2,1,0,0,40,39,0
41,4,305026,8,2,3,0,4,1,0,0,40,39,1
33,1,378590,7,2,10,0,4,1,0,0,14,39,0
42,6,82244,9,2,12,0,4,1,0,1890,60,39,0
40,6,212675,15,4,1,2,4,0,0,0,40,39,0
26,4,120173,8,2,3,0,4,1,0,1879,45,39,1
22,4,224387,9,4,12,3,2,0,0,0,38,39,0
32,4,233319,11,4,8,4,2,0,0,0,11,39,0
39,4,180195,11,2,3,0,4,1,0,0,45,39,1
56,4,187003,15,2,4,0,4,1,0,0,40,39,1
43,6,239009,9,2,10,0,4,1,0,0,45,0,0
48,0,27505,8,4,0,1,4,1,14967,0,60,39,1
26,4,280132,11,4,3,3,4,1,0,0,40,39,0
34,4,27151,10,4,12,1,4,1,0,0,48,39,0
28,4,93193,11,4,10,1,4,1,0,0,40,39,0
43,4,318242,9,2,12,0,4,1,0,1890,60,39,1
25,4,215569,12,2,10,5,4,0,0,0,40,11,0
27,4,196334,11,5,3,2,4,0,0,1156,40,39,0
26,1,38378,8,2,1,0,4,1,0,0,40,39,0
47,5,191135,15,2,4,0,4,1,0,0,37,39,0
33,4,189051,11,2,8,0,4,1,0,0,45,39,0
31,4,192139,9,4,13,1,4,1,0,0,40,39,0
44,4,436716,9,2,1,0,4,1,0,0,40,39,1
27,4,187124,8,2,3,0,4,1,0,0,40,39,0
58,4,164940,0,2,3,0,4,1,0,1868,40,39,1
33,4,123288,12,4,10,1,4,1,0,0,40,39,1
47,4,140915,11,2,3,0,2,1,0,0,40,39,1
70,4,126025,11,0,12,4,4,0,0,1463,40,39,0
70,4,223914,9,2,10,0,4,1,0,0,40,39,0
37,4,113753,11,4,8,1,4,0,0,0,40,39,0
58,4,371544,11,3,2,1,4,1,0,0,40,39,0
29,6,203235,11,2,12,0,4,1,0,0,60,39,0
36,4,260324,8,4,10,4,4,0,0,0,40,39,0
37,4,183973,9,4,12,1,4,0,0,0,45,39,0
52,4,187895,8,2,4,0,4,1,0,0,51,39,0
50,6,290239,9,0,4,1,4,1,0,0,45,26,0
25,4,238318,11,4,3,3,4,1,0,0,40,39,0
24,4,125373,15,4,6,0,4,1,0,0,40,39,0
34,4,198513,10,4,10,1,4,1,0,2220,40,39,1
34,4,224591,15,4,3,3,4,1,0,0,36,39,0
29,4,72085,11,4,8,2,4,1,0,0,33,39,0
27,6,193848,8,4,12,3,4,1,0,0,11,39,0
53,4,234302,11,0,12,4,4,0,0,0,38,39,0
48,4,195146,14,2,4,0,4,1,0,2066,45,39,1
52,4,241542,11,2,8,0,4,1,3507,0,37,39,1
53,2,347010,15,4,4,1,4,0,0,0,40,39,0
38,6,362743,9,2,4,0,1,1,0,0,49,35,0
40,4,45435,9,4,12,1,4,1,0,0,40,39,1
22,4,131972,11,4,3,3,4,1,0,0,40,39,0
35,4,165119,15,2,14,0,4,1,0,0,40,39,0
20,4,143327,11,2,12,0,4,1,0,0,37,39,0
39,6,173665,9,4,10,1,4,0,0,0,50,39,0
32,4,151342,11,0,1,4,2,0,0,0,40,39,0
26,4,47528,15,4,8,3,4,0,0,0,15,39,0
62,4,50095,11,3,8,1,4,0,0,0,50,39,0
36,4,253528,9,0,1,1,4,1,0,1324,40,39,0
54,4,263363,15,2,4,0,4,1,0,0,45,39,1
41,4,141520,9,2,12,0,4,1,0,0,45,0,0
23,1,227927,15,4,1,3,4,0,0,0,22,39,0
52,4,375221,8,2,3,0,4,1,0,0,40,39,1
58,4,153002,2,6,7,4,4,1,0,0,21,0,0
25,4,185266,0,4,3,3,4,1,0,0,40,39,0
40,4,118597,11,2,3,0,4,1,0,0,40,39,0
29,4,179207,11,4,1,3,4,1,0,0,40,39,0
43,4,214717,9,2,4,0,4,1,0,0,50,39,1
43,4,197459,15,0,8,1,4,1,3495,0,40,39,0
41,4,262441,9,4,10,1,4,1,0,0,21,39,0
32,0,251992,11,4,0,1,2,0,0,0,55,39,0
25,4,187260,7,2,3,0,4,1,3493,0,40,39,0
38,4,161187,15,4,1,4,4,0,0,0,25,39,0
42,2,460459,9,4,1,1,2,0,0,0,40,39,0
40,6,169391,8,2,3,0,4,1,0,0,40,39,1
51,2,218758,11,2,14,0,4,1,0,1875,40,0,1
22,2,212681,9,4,13,1,4,1,0,0,11,39,0
69,6,32834,12,2,10,0,4,1,0,0,56,39,1
76,4,219514,11,4,3,1,4,1,0,0,32,39,0
40,4,160065,11,4,4,1,4,0,0,0,60,39,0
36,4,131403,11,2,7,5,2,0,0,0,40,39,0
37,4,294727,11,2,10,5,4,0,0,0,40,39,1
77,4,201739,11,2,6,0,4,1,7554,0,40,39,1
35,4,346496,7,2,10,0,4,1,0,0,40,39,1
41,4,240491,11,2,6,0,4,1,0,0,36,39,0
41,2,295221,8,2,10,0,4,1,0,0,40,39,0
18,4,167962,9,4,13,3,4,0,0,0,40,39,0
52,4,201552,15,2,4,0,4,1,0,0,40,39,1
43,4,116472,11,2,3,0,4,1,0,0,40,39,1
57,4,161123,9,4,12,2,4,1,0,0,40,39,0
17,4,205539,0,4,5,3,4,1,0,0,17,39,0
46,7,363171,8,2,3,0,4,1,0,0,40,39,0
39,4,305443,1,2,1,5,4,0,0,0,40,39,0
49,2,373669,12,2,11,0,4,1,0,0,37,39,1
24,4,410836,9,4,6,1,4,1,0,0,40,39,0
30,4,269179,15,2,3,0,2,1,0,0,40,39,0
39,1,50524,14,2,10,5,4,0,7498,0,20,39,1
32,4,162289,11,2,3,0,4,1,0,0,44,39,1
53,4,181512,11,2,12,0,4,1,14970,0,40,39,1
49,5,55489,11,3,8,1,4,1,0,0,46,39,0
21,6,204298,1,4,3,3,2,1,0,0,19,39,0
47,7,84487,14,2,10,0,4,1,14990,0,50,19,1
37,4,269907,9,4,10,1,2,0,0,0,20,39,0
25,4,31381,8,4,7,1,4,0,0,0,40,39,0
56,4,174343,11,0,7,4,4,0,0,0,55,39,0
75,4,200459,11,0,12,1,4,1,0,0,37,39,0
44,2,219595,9,2,12,0,4,1,0,0,43,39,0
50,2,162985,9,2,11,0,4,1,0,0,60,39,0
48,2,176739,8,2,3,0,4,1,0,0,40,39,0
29,7,324425,11,4,1,2,4,1,0,0,40,39,0
23,7,24526,9,4,10,1,4,0,0,0,40,39,0
25,4,47670,8,4,1,3,4,1,0,0,40,39,0
19,4,105255,9,4,1,3,1,0,0,0,40,30,0
48,4,354636,8,2,13,0,4,1,0,1908,40,39,1
46,7,291685,10,2,3,0,4,1,0,0,40,19,1
45,1,313906,12,0,4,1,4,0,0,0,40,39,1
47,2,100099,9,4,10,4,4,0,0,0,40,39,0
28,4,163896,9,4,10,1,4,0,0,0,40,39,0
43,4,137269,9,2,12,0,4,1,3471,0,38,26,1
34,4,185058,11,2,12,0,4,1,0,0,40,39,0
42,4,377060,5,4,3,1,4,1,0,0,40,39,0
56,6,100819,11,2,4,0,4,1,7654,0,60,39,1
53,4,143134,8,2,3,0,4,1,0,0,40,39,0
21,1,140250,15,4,8,1,4,1,0,0,32,11,0
73,0,39379,6,6,0,1,4,1,0,0,29,39,0
18,0,13618,11,4,0,3,0,1,0,0,40,39,0
42,6,184063,11,0,12,3,4,0,0,0,31,39,0
40,4,35338,15,4,1,3,4,0,0,0,16,39,0
49,4,344621,11,4,12,1,4,0,0,0,40,39,0
41,4,175887,9,4,10,1,4,0,0,0,40,39,1
61,2,165508,11,6,1,1,2,0,0,0,45,39,0
43,4,102743,15,4,11,3,4,0,0,0,19,39,0
21,4,259777,8,4,13,3,4,1,0,0,40,39,0
40,4,217891,9,2,12,0,4,1,0,0,50,39,1
33,4,205873,11,4,7,3,4,1,3434,0,40,39,0
53,2,99800,15,0,1,1,2,0,0,0,60,39,0
60,4,58095,12,2,10,5,4,0,2900,0,45,39,1
58,4,196727,1,2,7,0,4,1,0,0,55,39,0
62,4,194963,15,4,12,1,4,1,0,0,40,39,0
49,0,129910,0,4,0,3,4,0,0,0,40,39,0
39,4,297943,11,2,3,0,4,1,0,0,40,39,1
41,4,116476,11,0,1,1,4,0,0,0,40,39,0
28,4,192231,15,4,1,1,4,0,0,0,45,39,0
37,7,172399,9,2,10,0,4,1,0,0,45,39,0
40,4,235715,9,2,3,0,4,1,0,0,56,39,0
35,6,260792,10,2,12,0,4,1,0,0,40,39,1
44,4,192279,8,2,7,0,3,1,0,0,40,26,1
35,4,226807,8,0,13,4,4,0,0,0,65,39,0
38,4,220209,15,2,7,0,1,1,0,0,40,5,1
17,0,391226,15,4,0,3,4,1,0,0,11,39,0
37,6,341978,11,0,8,1,4,1,0,0,62,39,0
20,4,89174,15,4,12,4,4,0,0,0,23,39,0
69,4,179619,11,4,3,1,4,0,0,0,25,39,0
35,4,146897,11,2,3,0,4,1,0,0,40,39,0
39,1,447494,9,0,1,4,4,1,0,0,40,39,0
34,4,177698,2,4,1,2,3,0,0,0,40,39,0
36,6,206133,7,2,13,0,4,1,0,0,50,39,1
56,4,175121,11,5,8,4,4,0,0,0,24,39,0
72,4,138477,12,2,4,0,4,1,0,0,60,39,1
18,4,200386,15,4,4,3,4,1,0,0,68,39,0
29,4,123996,11,4,8,1,4,1,0,0,39,39,0
49,7,171020,15,0,1,4,2,0,0,0,23,39,0
46,4,175654,11,2,7,0,4,0,0,0,55,39,0
23,2,174540,9,4,10,3,4,0,0,0,11,39,0
38,6,132890,11,2,3,0,4,1,0,0,40,39,0
20,4,409968,9,4,3,1,4,1,0,0,40,39,0
34,4,148531,8,4,12,3,4,1,0,0,55,39,0
50,4,188559,7,2,3,0,4,1,0,0,40,39,1
49,4,92386,11,2,7,0,4,1,0,0,40,39,0
29,4,103002,15,2,7,0,4,1,0,0,40,39,0
56,2,152900,11,2,8,5,4,0,0,0,21,39,1
52,4,353633,7,2,1,5,4,0,0,0,40,39,0
48,6,142268,14,2,10,0,4,1,7225,0,50,19,1
29,4,201560,15,4,8,3,4,1,0,0,15,39,0
45,4,323547,15,2,12,2,4,1,0,0,40,39,0
68,4,211673,9,2,12,0,4,1,0,0,40,39,0
41,4,307366,11,0,3,1,4,1,0,0,40,39,0
